DiffIR version=1 fingerprint=0ee902b1528f74aecab75fd2ef96fdd07749f5a4e8e8256524da33d5ca4e761f tensors=363 operations=168
tensor id=259 dtype=bf16 roles=12 shape=3072 bytes=6144
tensor id=260 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=261 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=262 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=263 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=264 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=265 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=266 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=267 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=268 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=269 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=270 dtype=bf16 roles=0 shape=512x16384 bytes=16777216
tensor id=271 dtype=bf16 roles=0 shape=512x8192 bytes=8388608
tensor id=272 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=273 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=274 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=275 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=276 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=277 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=278 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=279 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=280 dtype=bf16 roles=12 shape=128 bytes=256
tensor id=281 dtype=bf16 roles=12 shape=128 bytes=256
tensor id=282 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=283 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=284 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=285 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=286 dtype=bf16 roles=12 shape=16384x3072 bytes=100663296
tensor id=287 dtype=bf16 roles=12 shape=3072x8192 bytes=50331648
tensor id=288 dtype=bf16 roles=12 shape=3072 bytes=6144
tensor id=289 dtype=bf16 roles=12 shape=3072 bytes=6144
tensor id=290 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=291 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=292 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=293 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=294 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=295 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=296 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=297 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=298 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=299 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=300 dtype=bf16 roles=0 shape=512x16384 bytes=16777216
tensor id=301 dtype=bf16 roles=0 shape=512x8192 bytes=8388608
tensor id=302 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=303 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=304 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=305 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=306 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=307 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=308 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=309 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=310 dtype=bf16 roles=12 shape=128 bytes=256
tensor id=311 dtype=bf16 roles=12 shape=128 bytes=256
tensor id=312 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=313 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=314 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=315 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=316 dtype=bf16 roles=12 shape=16384x3072 bytes=100663296
tensor id=317 dtype=bf16 roles=12 shape=3072x8192 bytes=50331648
tensor id=318 dtype=bf16 roles=12 shape=3072 bytes=6144
tensor id=319 dtype=bf16 roles=12 shape=3072 bytes=6144
tensor id=320 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=321 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=322 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=323 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=324 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=325 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=326 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=327 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=328 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=329 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=330 dtype=bf16 roles=0 shape=512x16384 bytes=16777216
tensor id=331 dtype=bf16 roles=0 shape=512x8192 bytes=8388608
tensor id=332 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=333 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=334 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=335 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=336 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=337 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=338 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=339 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=340 dtype=bf16 roles=12 shape=128 bytes=256
tensor id=341 dtype=bf16 roles=12 shape=128 bytes=256
tensor id=342 dtype=bf16 roles=12 shape=3072x3072 bytes=18874368
tensor id=343 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=344 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=345 dtype=bf16 roles=12 shape=512x3072 bytes=3145728
tensor id=346 dtype=bf16 roles=12 shape=16384x3072 bytes=100663296
tensor id=347 dtype=bf16 roles=12 shape=3072x8192 bytes=50331648
tensor id=348 dtype=bf16 roles=12 shape=3072 bytes=6144
